FILE: content-warning.php
Line	Column	Type	Code	Message	Edit Link
220	16	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_URI']. Use isset() or empty() to check the index exists before using it	View in code editor (opens in a new tab)
220	16	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_SERVER['REQUEST_URI'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
220	16	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_SERVER['REQUEST_URI']	View in code editor (opens in a new tab)
381	30	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
539	16	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
543	23	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
545	15	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
545	52	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
547	62	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
547	62	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['_blured_featured_image'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
547	62	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_POST['_blured_featured_image']	View in code editor (opens in a new tab)
584	24	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_SERVER['REQUEST_URI']. Use isset() or empty() to check the index exists before using it	View in code editor (opens in a new tab)
584	24	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_SERVER['REQUEST_URI'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
584	24	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotSanitized	Detected usage of a non-sanitized input variable: $_SERVER['REQUEST_URI']	View in code editor (opens in a new tab)
712	16	WARNING	WordPress.Security.NonceVerification.Missing	Processing form data without nonce verification.	View in code editor (opens in a new tab)
712	16	WARNING	WordPress.Security.ValidatedSanitizedInput.InputNotValidated	Detected usage of a possibly undefined superglobal array index: $_POST['user_id']. Use isset() or empty() to check the index exists before using it	View in code editor (opens in a new tab)
712	16	WARNING	WordPress.Security.ValidatedSanitizedInput.MissingUnslash	$_POST['user_id'] not unslashed before sanitization. Use wp_unslash() or similar	View in code editor (opens in a new tab)
